Auction Title ,Auction Id,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,Asset #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
Dell Computer,80245,DISTRICT ATTORNEY,1/27/2014,$2.00 ,$0.05 ,0.23,$0.46 ,$0.46 ,Successful,1/27/2014,,DA-71490,,,3604911586,"$3,000 ",$0.00 ,$1.54 ,Enterprise,0
6 Wheel Dolly,80246,NASHVILLE CONVENTION CTR,1/27/2014,$25.01 ,$0.58 ,0.23,$5.75 ,$5.75 ,Successful,1/29/2014,,NCC-76711,,,3605069696,"$3,000 ",$0.00 ,$19.25 ,Enterprise,0
Crystal Springs Water Machine,80247,NASHVILLE CONVENTION CTR,1/27/2014,$52.00 ,$1.20 ,0.23,$11.96 ,$11.96 ,Successful,1/29/2014,,NCC-76379A,,,3605077567,"$3,000 ",$0.00 ,$40.04 ,Enterprise,0
Ladder,80249,NASHVILLE CONVENTION CTR,1/27/2014,$6.02 ,$0.14 ,0.23,$1.38 ,$1.38 ,Successful,1/27/2014,,NCC-76459,,,3604908472,"$3,000 ",$0.00 ,$4.63 ,Enterprise,0
Step Ladder,80252,NASHVILLE CONVENTION CTR,1/27/2014,$16.01 ,$0.37 ,0.23,$3.68 ,$3.68 ,Successful,1/29/2014,,NCC-76458,,,3605070044,"$3,000 ",$0.00 ,$12.32 ,Enterprise,0
6 Barriers,80253,NASHVILLE CONVENTION CTR,1/27/2014,$38.00 ,$0.87 ,0.23,$8.74 ,$8.74 ,Successful,1/27/2014,,"NCC-76457, NCC-76721",,,3604923509,"$3,000 ",$0.00 ,$29.26 ,Enterprise,0
9 Stands,80254,NASHVILLE CONVENTION CTR,1/27/2014,$8.17 ,$0.19 ,0.23,$1.87 ,$1.87 ,Successful,1/27/2014,,NCC-76398,,,3604908138,"$3,000 ",$0.00 ,$6.29 ,Enterprise,0
"Toshiba 32"" Television",80255,NASHVILLE CONVENTION CTR,1/27/2014,$7.77 ,$0.18 ,0.23,$1.78 ,$1.78 ,Successful,1/30/2014,,NCC-76432,,,3605146042,"$3,000 ",$0.00 ,$5.98 ,Enterprise,0
Powermatic Table Saw,80256,NASHVILLE CONVENTION CTR,1/27/2014,$437.23 ,$10.06 ,0.23,$100.56 ,$100.56 ,Successful,1/27/2014,,NCC-77222,,,3604931107,"$3,000 ",$0.00 ,$336.66 ,Enterprise,0
Krueger Table,80257,NASHVILLE CONVENTION CTR,1/27/2014,$4.01 ,$0.00 ,0.23,$0.92 ,$0.92 ,Successful,1/30/2014,,NCC-76451,,,Money Order,"$3,000 ",$0.00 ,$3.08 ,Enterprise,0
15 DVD's,80264,DRUG TASK FORCE,1/28/2014,$17.00 ,$0.39 ,0.23,$3.91 ,$3.91 ,Successful,1/28/2014,,TF-311-022B,,,3604994277,"$3,000 ",$0.00 ,$13.09 ,Enterprise,0
15 DVD's,80266,DRUG TASK FORCE,1/28/2014,$11.00 ,$0.25 ,0.23,$2.53 ,$2.53 ,Successful,1/30/2014,,TF-311-022E,,,3605141206,"$3,000 ",$0.00 ,$8.47 ,Enterprise,0
10 Stackable Chairs,80269,NASHVILLE CONVENTION CTR,1/30/2014,$57.00 ,$1.31 ,0.23,$13.11 ,$13.11 ,Successful,1/30/2014,,NCC-74908,,,3605146985,"$3,000 ",$0.00 ,$43.89 ,Enterprise,0
10 Chairs,80270,NASHVILLE CONVENTION CTR,1/30/2014,$9.51 ,$0.00 ,0.23,$2.18 ,$2.18 ,Successful,1/30/2014,,NCC-74907,,,Cashiers Check,"$3,000 ",$0.00 ,$7.32 ,Enterprise,0
10 Stackable Chairs,80271,NASHVILLE CONVENTION CTR,1/30/2014,$16.00 ,$0.00 ,0.23,$3.68 ,$3.68 ,Successful,1/30/2014,,NCC-74905,,,Cashiers Check,"$3,000 ",$0.00 ,$12.32 ,Enterprise,0
Metal Desk,80276,NASHVILLE CONVENTION CTR,1/30/2014,$8.00 ,$0.18 ,0.23,$1.84 ,$1.84 ,Successful,1/31/2014,,NCC-74472,,,3605252500,"$3,000 ",$0.00 ,$6.16 ,Enterprise,0
End Table,80283,WATER SERVICES,1/30/2014,$6.00 ,$0.14 ,0.23,$1.38 ,$1.38 ,Successful,1/30/2014,,WS-74747,,,3605151370,"$3,000 ",$0.00 ,$4.62 ,Enterprise,0
Office Chair,80285,WATER SERVICES,1/30/2014,$46.00 ,$1.06 ,0.23,$10.58 ,$10.58 ,Successful,1/30/2014,,WS-74751,,,3605152886,"$3,000 ",$0.00 ,$35.42 ,Enterprise,0
Wooden Table,80289,WATER SERVICES,1/30/2014,$18.00 ,$0.41 ,0.23,$4.14 ,$4.14 ,Successful,1/30/2014,,WS-74766,,,3605200733,"$3,000 ",$0.00 ,$13.86 ,Enterprise,0
2003 Toyota Camry,80302,DRUG TASK FORCE,1/30/2014,"$2,455.00 ",$0.00 ,0.23,$564.65 ,$564.65 ,Successful,1/30/2014,,TF-312-064,,939206,Money Order,"$3,000 ",$0.00 ,"$1,890.35 ",Enterprise,0
Hobart 512 Slicer,79916,SCHOOL BOARD WAREHOUSE,1/6/2014,$103.00 ,$2.37 ,0.23,$23.69 ,$23.69 ,Successful,2/18/2014,,SBS-6206,,,3606505419,"$3,000 ",$0.00 ,$79.31 ,Enterprise,0
